split,Method,restart_probability_c,temperature,runtime_seconds,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10,degenerate_minmax_users_all,degenerate_minmax_users_evaluated,rating_rows_using_degenerate_3,shared_evaluator_fallback_rows,mean_iterations,max_iterations,unconverged_users
validation,RWR_Softmax,0.6,0.3,1.8109771832823753,1.9371890439519053,2.3233157540971527,600.0,0.0,0.0,0.0,0.0,170.0,0.1564705882352941,0.6431372549019607,0.4746465910121807,0.7,0.10294117647058823,0.8392156862745097,0.539603785351996,0.8705882352941177,0,0,0,0,19.0,19,0
validation,RWR_Softmax,0.7,0.3,1.739459739997983,1.9192063897724316,2.307371459409245,600.0,0.0,0.0,0.0,0.0,170.0,0.15411764705882353,0.6372549019607843,0.4711778256292208,0.6941176470588235,0.10294117647058823,0.8392156862745097,0.5383463227811899,0.8705882352941177,0,0,0,0,14.847826086956522,15,0
validation,RWR_Softmax,0.1,0.5,3.1028798278421164,1.9870842981034147,2.3719622102621467,600.0,0.0,0.0,0.0,0.0,170.0,0.16588235294117645,0.7019607843137254,0.5066255085045052,0.7647058823529411,0.10705882352941176,0.8843137254901959,0.5695214854725525,0.9176470588235294,0,0,0,0,158.0,158,0
validation,RWR_Softmax,0.2,0.5,2.2806445714086294,2.0022814653562926,2.382899491044659,600.0,0.0,0.0,0.0,0.0,170.0,0.17411764705882352,0.7264705882352941,0.5292908391529019,0.7764705882352941,0.10882352941176471,0.8980392156862744,0.5874609768761379,0.9294117647058824,0,0,0,0,75.0,75,0
validation,RWR_Softmax,0.3,0.5,2.0584882982075214,2.0110761930778525,2.3895476391852113,600.0,0.0,0.0,0.0,0.0,170.0,0.1776470588235294,0.7401960784313725,0.5396531579670875,0.788235294117647,0.10882352941176471,0.8980392156862744,0.5922491083048876,0.9294117647058824,0,0,0,0,47.0,47,0
validation,RWR_Softmax,0.35,0.5,1.9985531494021416,2.014281936336275,2.3921518719264125,600.0,0.0,0.0,0.0,0.0,170.0,0.17529411764705882,0.7225490196078431,0.5438403971186181,0.7705882352941177,0.10470588235294116,0.8539215686274509,0.5900805496886383,0.8823529411764706,0,0,0,0,39.0,39,0
validation,RWR_Softmax,0.4,0.5,1.9433160983026028,2.016923702587396,2.394389445680731,600.0,0.0,0.0,0.0,0.0,170.0,0.17764705882352944,0.734313725490196,0.5466928358179849,0.7823529411764706,0.10470588235294116,0.8539215686274509,0.5892003829398871,0.8823529411764706,0,0,0,0,33.0,33,0
validation,RWR_Softmax,0.5,0.5,1.8883806448429823,2.0201839962680017,2.3970673979301202,600.0,0.0,0.0,0.0,0.0,170.0,0.1776470588235294,0.7303921568627451,0.5453351257839558,0.7764705882352941,0.10529411764705882,0.8568627450980392,0.5897910063914477,0.8823529411764706,0,0,0,0,24.984782608695653,25,0
validation,RWR_Softmax,0.6,0.5,1.7948922887444496,2.019080053477784,2.395561824383315,600.0,0.0,0.0,0.0,0.0,170.0,0.17411764705882352,0.7127450980392156,0.5368191212937458,0.7588235294117647,0.10529411764705882,0.8568627450980392,0.5874221531316587,0.8823529411764706,0,0,0,0,19.0,19,0
validation,RWR_Softmax,0.7,0.5,1.7612033635377884,2.012029471187059,2.3883335869563074,600.0,0.0,0.0,0.0,0.0,170.0,0.17529411764705882,0.7156862745098038,0.5431732334249604,0.7588235294117647,0.10588235294117647,0.8588235294117647,0.5927841193104748,0.8823529411764706,0,0,0,0,14.167391304347825,15,0
