Student_ID,Course_ID,Actual,Predicted,Error
40211261,40BA152,3.0,2.71,0.29
40511142,40BA051,3.0,4.6387,1.6387
40411246,40BA082,3.0,3.7457,0.7457
40211104,40UN110,4.0,2.4814,1.5186
40311236,40BR042,4.0,3.28,0.72
40211223,40BA132,3.0,3.2556,0.2556
40211115,40BA011,3.0,5.0,2.0
40211144,40BQ421,1.0,2.5266,1.5266
40211203,40BA102,4.0,3.5984,0.4016
40211257,409U163,1.0,1.7357,0.7357
40311113,40BA051,1.0,4.678,3.678
40411236,40BA012,3.0,4.9619,1.9619
40411233,40BA102,4.0,3.5996,0.4004
40311161,40BA221,1.0,3.0812,2.0812
40211153,40BR372,4.0,3.2501,0.7499
40411108,40BA011,4.0,5.0,1.0
40211115,40BC061,1.0,2.9646,1.9646
40311130,40BQ031,2.0,2.8798,0.8798
40211102,40B0291,2.0,4.6529,2.6529
40211205,40BR032,5.0,2.7848,2.2152
40211132,40BA081,2.0,3.7663,1.7663
40311257,40BA102,3.0,3.5999,0.5999
40211110,40BQ321,2.0,3.0107,1.0107
40411255,40BA102,4.0,3.5999,0.4001
40411138,40BA051,2.0,4.6379,2.6379
40311105,409A011,2.0,1.665,0.335
40311265,4064243,2.0,2.1215,0.1215
40311255,40B0292,2.0,4.6253,2.6253
40211104,40BA131,4.0,3.4067,0.5933
40211233,40BA092,2.0,2.8435,0.8435
40211133,40BR372,5.0,3.25,1.75
40311138,40BA011,1.0,5.0,4.0
40311124,40BA021,1.0,3.6738,2.6738
40211238,433A021,2.0,2.0989,0.0989
40311223,40BA222,1.0,3.0892,2.0892
40211161,40BA051,2.0,4.6382,2.6382
40211137,40BA091,1.0,2.9243,1.9243
40311128,40BA121,4.0,3.3693,0.6307
40411238,40BA052,2.0,4.579,2.579
40211118,40BC061,5.0,2.9647,2.0353
40311218,40BR042,4.0,3.2797,0.7203
40211235,40BA152,4.0,2.8733,1.1267
40211138,40BA051,3.0,4.6781,1.6781
40311206,40BA062,1.0,3.8332,2.8332
40211230,40B0292,5.0,4.6233,0.3767
40411209,40BA222,3.0,3.0896,0.0896
40311118,40BC051,3.0,3.2787,0.2787
40211224,40BR072,3.0,3.2857,0.2857
40311243,40BA122,4.0,3.2661,0.7339
40211113,40B0291,2.0,4.693,2.693
40211235,40BR072,4.0,3.5033,0.4967
40211161,40BQ331,1.0,2.8258,1.8258
40311253,40B0292,3.0,4.6248,1.6248
40211225,40BR372,4.0,3.2272,0.7728
40311227,40BA082,4.0,3.7452,0.2548
40211262,40BR082,5.0,2.9364,2.0636
40511229,40BA052,2.0,4.5767,2.5767
40211122,40BQ421,3.0,2.5268,0.4732
40411119,40BA051,1.0,4.681,3.681
40211202,40BA132,3.0,3.2557,0.2557
40211125,40BQ141,4.0,3.0773,0.9227
40411205,40BA052,2.0,4.5789,2.5789
40311131,40B0291,2.0,4.6938,2.6938
40311146,40BA081,2.0,3.7664,1.7664
40211245,40BR032,2.0,2.7846,0.7846
40411130,40BC071,1.0,3.1275,2.1275
40311135,40BA221,1.0,3.1039,2.1039
40411143,40BA051,1.0,4.6791,3.6791
40411207,40BA062,2.0,3.834,1.834
40211220,409Z481,5.0,2.0233,2.9767
40211205,40BA062,5.0,3.8322,1.1678
40211230,40BA062,4.0,3.8325,0.1675
40411140,40BA021,1.0,3.6437,2.6437
40511262,40BA052,3.0,4.5832,1.5832
40211262,40BA142,5.0,2.9029,2.0971
40311132,40BQ321,3.0,3.0109,0.0109
40311138,40BC021,4.0,3.353,0.647
40311151,40BA141,3.0,3.1876,0.1876
40411143,40BA221,1.0,3.1048,2.1048
40211222,40BD032,4.0,3.3813,0.6187
40311231,40BD032,2.0,3.3819,1.3819
40311205,40BD032,3.0,3.3819,0.3819
40511227,40BA052,2.0,4.5749,2.5749
40211152,40B0291,2.0,4.6534,2.6534
40211233,40BA142,4.0,2.9032,1.0968
40311238,40BA132,3.0,3.2566,0.2566
40211125,40BC011,4.0,3.871,0.129
40311219,40B0292,1.0,4.6246,3.6246
40311105,40BC071,2.0,3.1279,1.1279
40311134,40BA121,3.0,3.3695,0.3695
40311116,40B0291,2.0,4.6533,2.6533
40311157,40BA061,3.0,3.8552,0.8552
40211104,40BC051,2.0,3.2786,1.2786
40411149,40BC071,1.0,3.1047,2.1047
40411130,40BA102,3.0,3.6244,0.6244
40311214,40BD032,2.0,3.382,1.382
40411222,40BA062,1.0,3.8341,2.8341
40311108,40BA101,3.0,3.941,0.941
40211134,40BC021,4.0,3.3793,0.6207
40320324,40BC011,1.0,3.8708,2.8708
40311243,40BA012,3.0,4.9617,1.9617
40411130,40BA222,2.0,3.1087,1.1087
40411215,40BA052,1.0,4.5803,3.5803
40411240,40BR022,2.0,3.0722,1.0722
40211127,40BA131,5.0,3.4072,1.5928
40211131,40B0291,1.0,4.6943,3.6943
40211235,40BA102,4.0,3.846,0.154
40211101,40BR342,5.0,2.6955,2.3045
40211205,40BD012,4.0,3.7745,0.2255
40411120,40BA061,4.0,3.8242,0.1758
40311125,40B0291,3.0,4.6971,1.6971
40211150,40BC021,3.0,3.353,0.353
40311148,40BA081,3.0,3.7364,0.7364
40211219,40BA052,2.0,4.5771,2.5771
40211260,40BR122,5.0,2.9326,2.0674
40311146,40BA061,1.0,3.8549,2.8549
40511219,40BA052,3.0,4.5662,1.5662
40211150,40BC061,4.0,2.9646,1.0354
40211110,40BC051,2.0,3.2788,1.2788
40311249,40BA022,3.0,3.8295,0.8295
40211205,40BR042,3.0,3.2788,0.2788
40411104,40BC071,3.0,3.1283,0.1283
40211122,40BA151,4.0,2.9076,1.0924
40211106,40BA081,3.0,3.7362,0.7362
40311104,40BA141,1.0,3.1634,2.1634
40311229,40BA012,2.0,4.9621,2.9621
40511247,40B0292,4.0,4.6184,0.6184
40211208,90B2681,3.0,1.7003,1.2997
40211249,40BR122,5.0,2.9325,2.0675
40311116,40BA081,3.0,3.7363,0.7363
40311208,40BA022,4.0,3.8294,0.1706
40211206,40BA012,5.0,4.9594,0.0406
40511201,40BA012,3.0,4.9636,1.9636
40211116,40BA131,5.0,3.4069,1.5931
40211101,40BA081,4.0,3.7361,0.2639
40211112,40BA021,1.0,3.6726,2.6726
40211112,40BQ371,3.0,2.7324,0.2676
40211217,40BA022,5.0,3.8284,1.1716
40211220,40B0292,5.0,4.623,0.377
40311130,40BQ321,3.0,3.0107,0.0107
40311139,40BQ141,2.0,3.0774,1.0774
40311236,40BA102,4.0,3.5999,0.4001
40311245,40BA012,4.0,4.9621,0.9621
40511123,40BA051,1.0,4.6797,3.6797
40311114,40BA051,4.0,4.6782,0.6782
40311155,40BC051,3.0,3.2538,0.2538
40211239,40BR372,1.0,3.2269,2.2269
40211130,40BA021,1.0,3.9209,2.9209
