model,seed,train_interaction_bucket,users,rating_rows,ranking_eligible_users,MAE,RMSE,Recall@5,NDCG@5,HitRate@5
MF,7777,1-5,172,172,51,1.0424029307309972,1.1960247114746627,0.1568627450980392,0.1108754660364174,0.1568627450980392
MF,7777,6-10,93,93,21,0.8034203501157863,0.9790864836785526,0.19047619047619047,0.14579077674499288,0.19047619047619047
MF,7777,11-20,106,140,47,0.7624588055270058,0.9536883089173627,0.3723404255319149,0.3116851355667176,0.425531914893617
MF,7777,>20,87,195,53,0.6001306215922038,0.7853000334538076,0.29874213836477986,0.2523891243666198,0.37735849056603776
LightGCN_RMSE,7777,1-5,172,172,51,1.222166011499804,1.6613822301060768,0.5294117647058824,0.4231252720088402,0.5294117647058824
LightGCN_RMSE,7777,6-10,93,93,21,0.7331810023195,0.9753977543482731,0.9047619047619048,0.6378636933788981,0.9047619047619048
LightGCN_RMSE,7777,11-20,106,140,47,0.7595209879534585,0.9711944275043632,0.7978723404255319,0.6669084508151488,0.8297872340425532
LightGCN_RMSE,7777,>20,87,195,53,0.7137660332215138,0.930528973376924,0.33962264150943394,0.2594717628189998,0.41509433962264153
LightGCN_Ranking,7777,1-5,172,172,51,1.3036611565323764,1.7485344202120938,0.9215686274509803,0.771583770807312,0.9215686274509803
LightGCN_Ranking,7777,6-10,93,93,21,0.7641011591880552,0.9504183654272685,0.9047619047619048,0.7516942153061308,0.9047619047619048
LightGCN_Ranking,7777,11-20,106,140,47,0.8947853718485151,1.0968868518102466,0.9787234042553191,0.6482968601069616,1.0
LightGCN_Ranking,7777,>20,87,195,53,1.0304082338626568,1.3140276171031096,0.5188679245283019,0.4012206364425942,0.660377358490566
Vanilla_GCN,7777,1-5,172,172,51,2.08086665355882,2.4676937914408246,0.9019607843137255,0.7159094967086966,0.9019607843137255
Vanilla_GCN,7777,6-10,93,93,21,1.6962034868937668,2.048712020060363,0.8095238095238095,0.5083215632986801,0.8095238095238095
Vanilla_GCN,7777,11-20,106,140,47,1.323196859870638,1.7025130056597781,0.3723404255319149,0.258453888863187,0.40425531914893614
Vanilla_GCN,7777,>20,87,195,53,1.4730541699971909,1.7842861082246955,0.18867924528301888,0.1395725947742394,0.2830188679245283
