analysis,feature,mf_winner_n,mf_winner_mean,mf_winner_median,mf_winner_std,lightgcn_winner_n,lightgcn_winner_mean,lightgcn_winner_median,lightgcn_winner_std,cohens_d_lightgcn_minus_mf,mann_whitney_u,mann_whitney_p,spearman_rho_with_difference,spearman_p,mann_whitney_p_bh,spearman_p_bh
ranking_ndcg5,rating_max,27,4.925925925925926,5.0,0.2668802563418119,94,4.0212765957446805,4.0,1.2179545995410197,-0.834614101304053,1848.0,4.9689877679581605e-05,-0.41567170271567905,2.12370846243826e-06,0.00010702435192525269,5.9463836948271275e-06
ranking_ndcg5,number_of_distinct_rating_levels,27,4.111111111111111,4.0,0.9740215340114143,94,2.4893617021276597,2.0,1.5571181048642384,-1.1185405742758985,1980.0,4.101395543297644e-06,-0.3744537050900039,2.3241400383574785e-05,1.2759897245814892e-05,5.915992824909945e-05
ranking_ndcg5,fraction_rating_1,27,0.0523437055981813,0.03571428571428571,0.06358845274090422,94,0.12613891884508688,0.0,0.2513184063653059,0.32921819173216843,1314.0,0.7564248116256258,0.055461434841959645,0.5457050195586317,0.7564248116256257,0.5835904653025326
ranking_ndcg5,fraction_rating_2,27,0.10638351812691114,0.08333333333333333,0.11018063684635249,94,0.1600688807045258,0.0,0.27175285388223813,0.2185027185630191,1392.5,0.4197320121343008,0.04805031003349339,0.600717154353027,0.4352776422133489,0.600717154353027
ranking_ndcg5,fraction_rating_3,27,0.2445257716613215,0.20833333333333334,0.1302151469932533,94,0.22558110283330668,0.1213235294117647,0.29719740424885216,-0.07024605085901797,1576.5,0.050457029590704035,-0.12455970322204918,0.17343717449640692,0.0680583478167123,0.20234337024580806
ranking_ndcg5,fraction_rating_4,27,0.37073033751635626,0.34782608695652173,0.14335839749952686,94,0.2887842098406935,0.2,0.34469545843737015,-0.2626456052693738,1720.5,0.004212838190776785,-0.4302576767920342,8.413128375710436e-07,0.006208393123249998,2.6174177168876914e-06
ranking_ndcg5,fraction_rating_5,27,0.22601666709722978,0.1875,0.2200086025848365,94,0.19942688777638715,0.0,0.32812590115004214,-0.08639676741298205,1716.0,0.0039128469733130155,-0.29209413696466346,0.0011504704928914393,0.006086650847375802,0.0016106586900480149
ranking_ndcg5,fraction_rating_ge_4,27,0.596747004613586,0.6,0.22729248711273284,94,0.48821109761708065,0.45875,0.40143000727192074,-0.29299256596236095,1457.5,0.23736515638111333,-0.32872634108027116,0.00023203979733218784,0.2658489751468469,0.0003821831956059565
ranking_ndcg5,fraction_rating_lt_4,27,0.40325299538641396,0.4,0.22729248711273284,94,0.5117889023829194,0.54125,0.4014300072719207,0.29299256596236123,1080.5,0.23736515638111333,0.32872634108027116,0.00023203979733218784,0.2658489751468469,0.0003821831956059565
ranking_ndcg5,rating_entropy,27,1.7094947172084842,1.74917466839001,0.43546546261411484,94,0.8824125009481604,0.8997933666425911,0.8818625731605053,-1.0265012985944573,1906.5,4.6684528903327455e-05,-0.3391688607544538,0.00014147737002148802,0.00010702435192525269,0.00028295474004297604
ranking_ndcg5,rating_range,27,3.1481481481481484,3.0,0.9885383033590439,94,1.6063829787234043,1.0,1.6734362632078308,-0.9947810220278442,1895.0,4.884360090139657e-05,-0.3416781625871844,0.00012528771342118378,0.00010702435192525269,0.0002698504596763958
ranking_ndcg5,number_of_observed_ordered_pairs,27,152.66666666666666,164.0,68.11867472399801,94,40.191489361702125,8.5,55.1547727676243,-1.9314303045977723,2259.5,2.47824692833727e-10,-0.491056173629286,1.0745360999051358e-08,2.3130304664481188e-09,1.0029003599114601e-07
ranking_ndcg5,normalized_pair_count_per_interaction,27,6.836513448740645,7.318181818181818,2.201983829594684,94,2.4554755560172654,1.5277777777777777,2.7881167912033016,-1.6401883650396458,2227.5,9.139341141926405e-10,-0.4735778619638192,4.109594198470951e-08,6.3975387993484834e-09,2.3013727511437325e-07
