point,family,initial_alpha,final_alpha,best_checkpoint_alpha,lambda_rank,learning_rate,maximum_epochs,best_epoch,epochs_run,pair_mode,train_rating_loss,train_ranking_loss,MAE,RMSE,Rating_Rows,Missing_Predictions,Fallback_Predictions,Cold_User_Rows,Cold_Item_Rows,Ranking_Eligible_Users,Precision@5,Recall@5,NDCG@5,HitRate@5,Precision@10,Recall@10,NDCG@10,HitRate@10
V2-global,v2_global,0.1,0.8728534579277039,0.8041751384735107,0.01,0.05,100,72,92,unweighted,0.2703739106655121,0.2067747563123703,0.7988892948627472,0.9789587663508028,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.8728534579277039,0.8041751384735107,0.01,0.05,200,72,92,unweighted,0.2703739106655121,0.2067747563123703,0.7988892948627472,0.9789587663508028,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.10461090505123138,0.10461090505123138,0.05,0.001,50,50,50,unweighted,0.6007543802261353,0.4555948078632355,0.8254100956519445,1.096175085960401,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948450118303299,0.10948450118303299,0.05,0.001,100,100,100,unweighted,0.5974763631820679,0.4525053799152374,0.8248122316598893,1.0950141393841244,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.12010211497545242,0.12010211497545242,0.05,0.001,200,200,200,unweighted,0.5903823375701904,0.4458673596382141,0.8235039480527242,1.092502443867876,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
V2-global,v2_global,0.1,0.12542392313480377,0.12542392313480377,0.05,0.005,50,50,50,unweighted,0.586851179599762,0.4425875246524811,0.8228524061044057,1.0912553427795486,600,0,0,0,0,170,0.13647058823529412,0.6127450980392156,0.44505823559450397,0.6529411764705882,0.08882352941176472,0.7725490196078431,0.49983443008726514,0.8235294117647058
V2-global,v2_global,0.1,0.1586276739835739,0.1586276739835739,0.05,0.005,100,100,100,unweighted,0.5651881098747253,0.42282211780548096,0.8189254246155421,1.083656752529137,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.2551887631416321,0.2551887631416321,0.05,0.005,200,200,200,unweighted,0.5058026313781738,0.371751993894577,0.8085055390993754,1.0616160274422228,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.4292676883295361,0.6235294117647059,0.08941176470588234,0.7676470588235295,0.4939333868716048,0.8176470588235294
V2-global,v2_global,0.1,0.15742899477481842,0.15742899477481842,0.05,0.01,50,50,50,unweighted,0.565959095954895,0.42351508140563965,0.819064643184344,1.0839254959001483,600,0,0,0,0,170,0.13529411764705881,0.6068627450980392,0.44232963477522486,0.6470588235294118,0.09117647058823529,0.7892156862745098,0.5044781285891858,0.8411764705882353
V2-global,v2_global,0.1,0.2507398724555969,0.2507398724555969,0.05,0.01,100,100,100,unweighted,0.5084205269813538,0.37390848994255066,0.8089222858349482,1.0626036430162493,600,0,0,0,0,170,0.13176470588235292,0.5784313725490196,0.43056662214989655,0.6235294117647059,0.0888235294117647,0.7617647058823529,0.4936370479286106,0.8117647058823529
V2-global,v2_global,0.1,0.5236677527427673,0.5236677527427673,0.05,0.01,200,200,200,unweighted,0.36894944310188293,0.27014580368995667,0.793931996623675,1.007173566199743,600,0,0,0,0,170,0.11411764705882352,0.48823529411764705,0.37877032614999123,0.5411764705882353,0.0811764705882353,0.6735294117647059,0.4412559773372845,0.7235294117647059
V2-global,v2_global,0.1,0.6201781630516052,0.6201781630516052,0.05,0.05,50,50,50,unweighted,0.3299129605293274,0.24452215433120728,0.793136878212293,0.9912300193379515,600,0,0,0,0,170,0.10470588235294118,0.43725490196078426,0.34594962935847856,0.48823529411764705,0.07470588235294118,0.6156862745098038,0.40707984259402075,0.6647058823529411
V2-global,v2_global,0.1,0.8722507357597351,0.803378701210022,0.05,0.05,100,72,92,unweighted,0.27058956027030945,0.2069120854139328,0.7988402368625005,0.978959349521046,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.8722507357597351,0.803378701210022,0.05,0.05,200,72,92,unweighted,0.27058956027030945,0.2069120854139328,0.7988402368625005,0.978959349521046,600,0,0,0,0,170,0.08470588235294117,0.34411764705882353,0.2815659511399064,0.4,0.058823529411764705,0.4696078431372549,0.325752599192326,0.5176470588235295
V2-global,v2_global,0.1,0.10461082309484482,0.10461082309484482,0.1,0.001,50,50,50,unweighted,0.6007543802261353,0.45559483766555786,0.8254101081689199,1.0961751065876464,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4499849661441581,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5033126303395111,0.8235294117647058
V2-global,v2_global,0.1,0.10948392748832703,0.10948392748832703,0.1,0.001,100,100,100,unweighted,0.5974766612052917,0.4525057375431061,0.8248123004039128,1.0950142784908883,600,0,0,0,0,170,0.1376470588235294,0.6186274509803921,0.4480414004324763,0.6588235294117647,0.08882352941176472,0.7745098039215685,0.5012208007069875,0.8235294117647058
V2-global,v2_global,0.1,0.1200987845659256,0.1200987845659256,0.1,0.001,200,200,200,unweighted,0.5903845429420471,0.44586944580078125,0.8235043613115947,1.092503226701734,600,0,0,0,0,170,0.1388235294117647,0.6245098039215685,0.4502215588782525,0.6647058823529411,0.08941176470588236,0.7745098039215685,0.5016554889699704,0.8235294117647058
