Method,Student_ID,Course_ID,Actual,Predicted,Error
RWR_Binary,40211126,433N062,5,4.3496,0.6504
RWR_Binary,40211102,409U053,5,4.381,0.619
RWR_Binary,40211134,40BA061,4,5.0,1.0
RWR_Binary,40311134,40BQ321,3,4.8042,1.8042
RWR_Binary,40211203,40BA022,3,4.9587,1.9587
RWR_Binary,40211147,40BC051,1,4.8377,3.8377
RWR_Binary,40311217,40BD012,4,4.9383,0.9383
RWR_Binary,40211233,40BA152,2,4.8582,2.8582
RWR_Binary,40211137,40BQ391,2,4.7447,2.7447
RWR_Binary,40411106,40BA051,3,5.0,2.0
RWR_Binary,40311158,40UN130,5,3.4989,1.5011
RWR_Binary,40211116,40BQ021,4,4.7272,0.7272
RWR_Binary,40311202,40BA082,4,4.9459,0.9459
RWR_Binary,40211154,40BQ391,3,4.7485,1.7485
RWR_Binary,40311110,40B0291,3,4.9773,1.9773
RWR_Binary,40411150,40BC071,2,4.8851,2.8851
RWR_Binary,40211117,40BA131,4,4.8433,0.8433
RWR_Binary,40311229,40BD012,4,4.9422,0.9422
RWR_Binary,40211102,40BA081,4,4.9282,0.9282
RWR_Binary,40211115,40BQ021,2,4.6836,2.6836
RWR_Binary,40211215,40BA052,1,4.9958,3.9958
RWR_Binary,40211105,40BA151,3,4.7498,1.7498
RWR_Binary,40211166,40BQ371,1,4.6884,3.6884
RWR_Binary,40311237,40BA122,3,4.8816,1.8816
RWR_Binary,40311211,40BA132,4,4.8529,0.8529
RWR_Binary,40211225,40UN070,5,4.3792,0.6208
RWR_Binary,40511109,40B0291,4,5.0,1.0
RWR_Binary,40211161,40BQ051,1,4.7238,3.7238
RWR_Binary,40211118,40BC051,5,4.8344,0.1656
RWR_Binary,40411131,40BA021,1,4.9902,3.9902
RWR_Binary,40311122,40BA221,3,4.8811,1.8811
RWR_Binary,40511104,40B0291,5,5.0,0.0
RWR_Binary,40211126,40BA051,5,5.0,0.0
RWR_Binary,40211211,40BR082,3,4.8929,1.8929
RWR_Binary,40211262,40BA092,4,4.765,0.765
RWR_Binary,40211250,40B0292,4,5.0,1.0
RWR_Binary,40311233,40B8932,3,4.5812,1.5812
RWR_Binary,40311146,40BC011,1,4.9676,3.9676
RWR_Binary,40211156,40BA151,3,4.7381,1.7381
RWR_Binary,40211228,40BA062,3,5.0,2.0
RWR_Binary,40311221,40BD012,3,4.9898,1.9898
RWR_Binary,40311119,40BA011,5,5.0,0.0
RWR_Binary,40411126,40BC011,3,4.9071,1.9071
RWR_Binary,40311130,409A021,1,4.4378,3.4378
RWR_Binary,40211232,40BA102,1,4.9131,3.9131
RWR_Binary,40211117,40BA121,3,4.8358,1.8358
RWR_Binary,40411247,40BA102,2,4.9199,2.9199
RWR_Binary,40211248,40BA102,4,4.9621,0.9621
RWR_Binary,40411251,40BA022,2,4.9516,2.9516
RWR_Binary,40312142,40BA101,4,4.9456,0.9456
RWR_Binary,40211229,40BR082,4,4.7756,0.7756
RWR_Binary,40211214,40BR242,2,4.6274,2.6274
RWR_Binary,40311150,40BC011,1,4.8783,3.8783
RWR_Binary,40411102,40BQ031,5,4.8126,0.1874
RWR_Binary,40211106,40BA061,5,4.9236,0.0764
RWR_Binary,40211230,409Z481,4,4.5274,0.5274
RWR_Binary,40211117,40BA151,4,4.6846,0.6846
RWR_Binary,40211259,40BA022,4,4.9662,0.9662
RWR_Binary,40311259,40BA062,1,4.9591,3.9591
RWR_Binary,40411159,40BA101,3,4.9406,1.9406
RWR_Binary,40411115,40BA221,1,4.8935,3.8935
RWR_Binary,40211247,409Z481,4,4.5827,0.5827
RWR_Binary,40311260,40BR022,3,4.9269,1.9269
RWR_Binary,40411128,40BA011,1,5.0,4.0
RWR_Binary,40211146,40BA151,4,4.7311,0.7311
RWR_Binary,40211101,40B0291,4,4.9774,0.9774
RWR_Binary,40211148,40BQ171,4,4.8327,0.8327
RWR_Binary,40211244,40BR042,2,4.8655,2.8655
RWR_Binary,40511101,40BA011,1,5.0,4.0
RWR_Binary,40205303,40BR242,1,4.6327,3.6327
RWR_Binary,40211235,40BR042,2,4.907,2.907
RWR_Binary,40211126,40KA393,3,1.0,2.0
RWR_Binary,40211139,40BQ421,2,4.6743,2.6743
RWR_Binary,40211206,40BD012,3,4.9517,1.9517
RWR_Binary,40311204,40BA052,5,5.0,0.0
RWR_Binary,40211233,40BR242,1,4.7487,3.7487
RWR_Binary,40411125,40BA011,1,5.0,4.0
RWR_Binary,40311218,40BA132,5,4.901,0.099
RWR_Binary,40211137,40BC011,3,4.928,1.928
RWR_Binary,40311120,40BA021,1,4.9327,3.9327
RWR_Binary,40511107,40BA051,5,5.0,0.0
RWR_Binary,40311217,40BD032,2,4.8573,2.8573
RWR_Binary,40311215,40B0292,2,5.0,3.0
RWR_Binary,40311155,40BQ031,1,4.7808,3.7808
RWR_Binary,40211201,40BR032,3,4.742,1.742
RWR_Binary,40211134,40BQ401,4,4.7131,0.7131
RWR_Binary,40211208,40BA092,1,4.744,3.744
RWR_Binary,40211247,40BR032,4,4.8644,0.8644
RWR_Binary,40311238,40BA122,3,4.831,1.831
RWR_Binary,40211109,40BQ141,2,4.7971,2.7971
RWR_Binary,40211130,40BA081,1,5.0,4.0
RWR_Binary,40311158,40BC071,5,4.8772,0.1228
RWR_Binary,40211226,40BD032,4,4.8743,0.8743
RWR_Binary,40211266,40BA081,2,4.753,2.753
RWR_Binary,40311233,40B0292,3,5.0,2.0
RWR_Binary,40311136,40BA011,1,5.0,4.0
RWR_Binary,40311132,40BA121,1,4.9938,3.9938
RWR_Binary,40211133,40BC011,2,4.9345,2.9345
RWR_Binary,40211236,40BD012,1,4.8912,3.8912
RWR_Binary,40311210,40BA222,3,4.9938,1.9938
RWR_Binary,40211117,40BQ141,2,4.7524,2.7524
RWR_Binary,40311261,40BD032,3,4.8546,1.8546
RWR_Binary,40211225,40B9561,4,4.6518,0.6518
RWR_Binary,40211228,40BA132,3,4.9172,1.9172
RWR_Binary,40211158,40BA011,4,5.0,1.0
RWR_Binary,40211154,40BA091,1,4.7407,3.7407
RWR_Binary,40211137,40BA061,1,4.9563,3.9563
RWR_Binary,40211209,40BD032,2,4.877,2.877
RWR_Binary,40411227,40BA222,3,4.8579,1.8579
RWR_Binary,40311235,40BA222,1,4.8399,3.8399
RWR_Binary,40211141,40BC061,4,4.8038,0.8038
RWR_Binary,40211261,40BR072,5,4.8748,0.1252
RWR_Binary,40211114,40BA011,1,5.0,4.0
RWR_Binary,40411126,40BA081,4,4.946,0.946
RWR_Binary,40211229,40BA012,2,5.0,3.0
RWR_Binary,40311122,40BA081,4,4.9972,0.9972
RWR_Binary,40311109,40BA021,1,4.9054,3.9054
RWR_Binary,40411205,40BD012,4,4.9416,0.9416
RWR_Binary,40327247,40BC071,2,4.8887,2.8887
RWR_Binary,40311238,40B0292,2,5.0,3.0
RWR_Binary,40311238,40B8932,3,4.5694,1.5694
RWR_Binary,40411158,40BA051,2,4.9663,2.9663
RWR_Binary,40311243,40BA052,4,4.99,0.99
RWR_Binary,40411211,40BA222,2,4.8354,2.8354
RWR_Binary,40511226,40BA012,4,3.0,1.0
RWR_Binary,40411255,40BA222,4,4.908,0.908
RWR_Binary,40411212,40BD012,3,4.9381,1.9381
RWR_Binary,40211202,40B9651,4,4.4298,0.4298
RWR_Binary,40311243,40BD012,4,4.9433,0.9433
RWR_Binary,40211112,40KT142,5,4.2956,0.7044
RWR_Binary,40311204,40BA132,4,4.86,0.86
RWR_Binary,40211224,40BD012,3,5.0,2.0
RWR_Binary,40211113,40BA091,1,4.7317,3.7317
RWR_Binary,40411156,40BA021,4,4.9022,0.9022
RWR_Binary,40311153,40BA021,5,4.9934,0.0066
RWR_Binary,40211266,40BR022,2,4.8327,2.8327
RWR_Binary,40411219,40BA082,5,4.9388,0.0612
RWR_Binary,40311223,40BA122,3,4.8441,1.8441
RWR_Binary,40211116,40BQ051,4,4.7598,0.7598
RWR_Binary,40211246,40BR122,5,4.8018,0.1982
RWR_Binary,40311158,40BQ341,3,4.5786,1.5786
RWR_Binary,40411201,40BA062,3,5.0,2.0
RWR_Binary,40211126,40IN672,5,4.342,0.658
RWR_Binary,40211249,40B0292,4,5.0,1.0
RWR_Binary,40311108,40BC011,2,4.9664,2.9664
RWR_Binary,40411156,40BA011,5,5.0,0.0
RWR_Binary,40411244,40BR472,1,4.7463,3.7463
RWR_Binary,40211103,40UN050,1,3.6112,2.6112
RWR_Binary,40411242,40BA102,4,4.9797,0.9797
RWR_Binary,40411202,40BA052,4,4.9839,0.9839
RWR_Binary,40211261,40BA152,3,4.7381,1.7381
RWR_Binary,40511142,40BA051,3,4.9597,1.9597
RWR_Binary,40411246,40BA082,3,4.9449,1.9449
RWR_Binary,40211104,40UN110,4,4.6739,0.6739
RWR_Binary,40311236,40BR042,4,4.8431,0.8431
RWR_Binary,40211223,40BA132,3,4.8754,1.8754
RWR_Binary,40211115,40BA011,3,5.0,2.0
RWR_Binary,40211144,40BQ421,1,4.6809,3.6809
RWR_Binary,40211203,40BA102,4,4.9227,0.9227
RWR_Binary,40211257,409U163,1,4.3664,3.3664
RWR_Binary,40311113,40BA051,1,4.9834,3.9834
RWR_Binary,40411236,40BA012,3,5.0,2.0
RWR_Binary,40411233,40BA102,4,5.0,1.0
RWR_Binary,40311161,40BA221,1,4.8386,3.8386
RWR_Binary,40211153,40BR372,4,4.6315,0.6315
RWR_Binary,40411108,40BA011,4,5.0,1.0
RWR_Binary,40211115,40BC061,1,4.7257,3.7257
RWR_Binary,40311130,40BQ031,2,4.863,2.863
RWR_Binary,40211102,40B0291,2,4.9787,2.9787
RWR_Binary,40211205,40BR032,5,4.736,0.264
RWR_Binary,40211132,40BA081,2,4.9356,2.9356
RWR_Binary,40311257,40BA102,3,5.0,2.0
RWR_Binary,40211110,40BQ321,2,4.8258,2.8258
RWR_Binary,40411255,40BA102,4,4.9699,0.9699
RWR_Binary,40411138,40BA051,2,4.9663,2.9663
RWR_Binary,40311105,409A011,2,4.1576,2.1576
RWR_Binary,40311265,4064243,2,5.0,3.0
RWR_Binary,40311255,40B0292,2,5.0,3.0
RWR_Binary,40211104,40BA131,4,4.8918,0.8918
RWR_Binary,40211233,40BA092,2,4.8895,2.8895
RWR_Binary,40211133,40BR372,5,4.6338,0.3662
RWR_Binary,40311138,40BA011,1,5.0,4.0
RWR_Binary,40311124,40BA021,1,5.0,4.0
RWR_Binary,40211238,433A021,2,4.5255,2.5255
RWR_Binary,40311223,40BA222,1,4.8364,3.8364
RWR_Binary,40211161,40BA051,2,4.9654,2.9654
RWR_Binary,40211137,40BA091,1,4.7365,3.7365
RWR_Binary,40311128,40BA121,4,4.9107,0.9107
RWR_Binary,40411238,40BA052,2,5.0,3.0
RWR_Binary,40211118,40BC061,5,4.7484,0.2516
RWR_Binary,40311218,40BR042,4,4.8965,0.8965
RWR_Binary,40211235,40BA152,4,4.7705,0.7705
RWR_Binary,40211138,40BA051,3,4.9895,1.9895
RWR_Binary,40311206,40BA062,1,4.9537,3.9537
RWR_Binary,40211230,40B0292,5,5.0,0.0
RWR_Binary,40411209,40BA222,3,4.8298,1.8298
RWR_Binary,40311118,40BC051,3,4.9185,1.9185
RWR_Binary,40211224,40BR072,3,4.9187,1.9187
RWR_Binary,40311243,40BA122,4,4.8445,0.8445
RWR_Binary,40211113,40B0291,2,5.0,3.0
RWR_Binary,40211235,40BR072,4,4.9097,0.9097
RWR_Binary,40211161,40BQ331,1,4.7471,3.7471
RWR_Binary,40311253,40B0292,3,5.0,2.0
RWR_Binary,40211225,40BR372,4,4.9789,0.9789
RWR_Binary,40311227,40BA082,4,4.9354,0.9354
RWR_Binary,40211262,40BR082,5,4.7883,0.2117
RWR_Binary,40511229,40BA052,2,4.987,2.987
RWR_Binary,40211122,40BQ421,3,4.7371,1.7371
RWR_Binary,40411119,40BA051,1,5.0,4.0
RWR_Binary,40211202,40BA132,3,4.9193,1.9193
RWR_Binary,40211125,40BQ141,4,4.7755,0.7755
RWR_Binary,40411205,40BA052,2,5.0,3.0
RWR_Binary,40311131,40B0291,2,5.0,3.0
RWR_Binary,40311146,40BA081,2,4.9932,2.9932
RWR_Binary,40211245,40BR032,2,4.7391,2.7391
RWR_Binary,40411130,40BC071,1,4.9405,3.9405
RWR_Binary,40311135,40BA221,1,4.8373,3.8373
RWR_Binary,40411143,40BA051,1,5.0,4.0
RWR_Binary,40411207,40BA062,2,4.942,2.942
RWR_Binary,40211220,409Z481,5,4.4552,0.5448
RWR_Binary,40211205,40BA062,5,4.9509,0.0491
RWR_Binary,40211230,40BA062,4,4.9599,0.9599
RWR_Binary,40411140,40BA021,1,4.9033,3.9033
RWR_Binary,40511262,40BA052,3,4.987,1.987
RWR_Binary,40211262,40BA142,5,4.7846,0.2154
RWR_Binary,40311132,40BQ321,3,4.9428,1.9428
RWR_Binary,40311138,40BC021,4,4.8482,0.8482
RWR_Binary,40311151,40BA141,3,4.9026,1.9026
RWR_Binary,40411143,40BA221,1,4.8519,3.8519
RWR_Binary,40211222,40BD032,4,4.8727,0.8727
RWR_Binary,40311231,40BD032,2,4.857,2.857
RWR_Binary,40311205,40BD032,3,4.912,1.912
RWR_Binary,40511227,40BA052,2,5.0,3.0
RWR_Binary,40211152,40B0291,2,4.978,2.978
RWR_Binary,40211233,40BA142,4,4.904,0.904
RWR_Binary,40311238,40BA132,3,4.8376,1.8376
RWR_Binary,40211125,40BC011,4,4.9016,0.9016
RWR_Binary,40311219,40B0292,1,5.0,4.0
RWR_Binary,40311105,40BC071,2,4.8801,2.8801
RWR_Binary,40311134,40BA121,3,4.8548,1.8548
RWR_Binary,40311116,40B0291,2,4.9796,2.9796
RWR_Binary,40311157,40BA061,3,4.9479,1.9479
RWR_Binary,40211104,40BC051,2,4.8594,2.8594
RWR_Binary,40411149,40BC071,1,4.8681,3.8681
RWR_Binary,40411130,40BA102,3,4.7454,1.7454
RWR_Binary,40311214,40BD032,2,4.8639,2.8639
RWR_Binary,40411222,40BA062,1,4.9437,3.9437
RWR_Binary,40311108,40BA101,3,4.9958,1.9958
RWR_Binary,40211134,40BC021,4,4.9333,0.9333
RWR_Binary,40320324,40BC011,1,4.9,3.9
RWR_Binary,40311243,40BA012,3,5.0,2.0
RWR_Binary,40411130,40BA222,2,4.683,2.683
RWR_Binary,40411215,40BA052,1,4.9903,3.9903
RWR_Binary,40411240,40BR022,2,4.8707,2.8707
RWR_Binary,40211127,40BA131,5,4.8801,0.1199
RWR_Binary,40211131,40B0291,1,5.0,4.0
RWR_Binary,40211235,40BA102,4,4.9639,0.9639
RWR_Binary,40211101,40BR342,5,4.5058,0.4942
RWR_Binary,40211205,40BD012,4,4.9389,0.9389
RWR_Binary,40411120,40BA061,4,4.9273,0.9273
RWR_Binary,40311125,40B0291,3,5.0,2.0
RWR_Binary,40211150,40BC021,3,4.8656,1.8656
RWR_Binary,40311148,40BA081,3,4.8953,1.8953
