Student_ID,Course_ID,Actual,Predicted,Error
40411125,40BA011,1,2.903,1.903
40311218,40BA132,5,3.5418,1.4582
40211137,40BC011,3,2.087,0.913
40311120,40BA021,1,2.4019,1.4019
40511107,40BA051,5,2.903,2.097
40311217,40BD032,2,2.9082,0.9082
40311215,40B0292,2,2.903,0.903
40311155,40BQ031,1,2.903,1.903
40211201,40BR032,3,3.3006,0.3006
40211134,40BQ401,4,4.301,0.301
40211208,40BA092,1,2.903,1.903
40211247,40BR032,4,4.17,0.17
40311238,40BA122,3,2.7826,0.2174
40211109,40BQ141,2,3.1091,1.1091
40211130,40BA081,1,2.3232,1.3232
40311158,40BC071,5,3.4222,1.5778
40211226,40BD032,4,3.8982,0.1018
40211266,40BA081,2,2.903,0.903
40311233,40B0292,3,2.903,0.097
40311136,40BA011,1,2.903,1.903
40311132,40BA121,1,2.903,1.903
40211133,40BC011,2,2.4667,0.4667
40211236,40BD012,1,2.903,1.903
40311210,40BA222,3,2.8603,0.1397
40211117,40BQ141,2,2.903,0.903
40311261,40BD032,3,3.1098,0.1098
40211225,40B9561,4,4.0,0.0
40211228,40BA132,3,3.0962,0.0962
40211158,40BA011,4,2.2231,1.7769
40211154,40BA091,1,1.5981,0.5981
40211137,40BA061,1,3.4881,2.4881
40211209,40BD032,2,3.5927,1.5927
40411227,40BA222,3,2.903,0.097
40311235,40BA222,1,2.903,1.903
40211141,40BC061,4,3.9323,0.0677
40211261,40BR072,5,4.7047,0.2953
40211114,40BA011,1,2.903,1.903
40411126,40BA081,4,2.903,1.097
40211229,40BA012,2,2.9562,0.9562
40311122,40BA081,4,3.3047,0.6953
40311109,40BA021,1,2.903,1.903
40411205,40BD012,4,2.903,1.097
40327247,40BC071,2,2.903,0.903
40311238,40B0292,2,2.4912,0.4912
40311238,40B8932,3,3.7053,0.7053
40411158,40BA051,2,2.903,0.903
40311243,40BA052,4,4.5413,0.5413
40411211,40BA222,2,2.903,0.903
40511226,40BA012,4,3.1679,0.8321
